Author,Quote,Tags
Voltaire,"Those who can make you believe absurdities, can make you commit atrocities.","['absurdities', 'atheism', 'atrocities', 'barbarity', 'injustice', 'religion', 'skepticism']"
Joss Whedon,I write to give myself strength. I write to be the characters that I am not. I write to explore all the things I'm afraid of. ,['writing']
Abraham Lincoln,Books serve to show a man that those original thoughts of his aren't very new after all.,"['books', 'originality', 'unique']"
Cassandra Clare,"You might want to lie down,"" Magnus advised. ""I find that it helps when the crushing sense of horrible realization sets in.",['humorous']
Rick Riordan,"The world was collapsing, and the only thing that really mattered to me was that she was alive.","['infatuation', 'love', 'obsession']"
Anne Frank,"Parents can only give good advice or put them on the right paths, but the final forming of a person's character lies in their own hands.","['growing-up', 'innocence', 'inspirational', 'parenting', 'personal-responsibility', 'right-of-passage', 'self-determination', 'self-responsibility']"
Rick Riordan,"Um...is that thing tame?"" Frank said.The horse whinnied angrily.""I don't think so,"" Percy guessed. ""He just said, 'I will trample you to death, silly Chinese Canadian baby man'.","['funny', 'silly-chinese-canadian-baby-man']"
Neil Gaiman,"This is how you do it: you sit down at the keyboard and you put one word after another until its done. It's that easy, and that hard.",['writing']
Harper Lee,"They're certainly entitled to think that, and they're entitled to full respect for their opinions... but before I can live with other folks I've got to live with myself. The one thing that doesn't abide by majority rule is a person's conscience.",['integrity']
F. Scott Fitzgerald,"In my younger and more vulnerable years my father gave me some advice that I've been turning over in my mind ever since.""Whenever you feel like criticizing any one,"" he told me, ""just remember that all the people in this world haven't had the advantages that you've had.","['f-scott-fitzgerald', 'narrator', 'the-great-gatsby']"
Annie Proulx,"You should write because you love the shape of stories and sentences and the creation of different words on a page. Writing comes from reading, and reading is the finest teacher of how to write.","['reading', 'words', 'writing']"
Candace Bushnell,Maybe our girlfriends are our soulmates and guys are just people to have fun with.,"['dating', 'humor', 'relationships', 'soulmates']"
Reginald Vincent Holmes,The earth has its music for those who will listen,['misattributed-george-santayana']
Oscar Wilde,"When one is in love, one always begins by deceiving one's self, and one always ends by deceiving others. That is what the world calls a romance.",['romance']
Charles Darwin,A man who dares to waste one hour of time has not discovered the value of life.,"['dare', 'inspirational', 'life', 'science', 'time', 'value', 'waste']"
J.K. Rowling,We do not need magic to transform our world. We carry all of the power we need inside ourselves already.,['magic']
Fannie Flagg,"I wonder how many people don't get the one they want, but end up with the one they're supposed to be with.","['couples', 'deep', 'dissapointment', 'fate', 'heart', 'inspirational', 'love', 'people', 'romance']"
Louise Erdrich,"When we are young, the words are scattered all around us. As they are assembled by experience, so also are we, sentence by sentence, until the story takes shape.",['athe-plague-of-dives']
Oprah Winfrey,"Be thankful for what you have; you'll end up having more. If you concentrate on what you don't have, you will never, ever have enough.","['appreciation', 'contentment', 'dissatisfaction', 'life', 'perception', 'positivity', 'thankfulness', 'thanksgiving']"
Sun Tzu,The supreme art of war is to subdue the enemy without fighting.,"['diplomacy', 'strategy', 'victory', 'war']"
Mitch Albom,Holding anger is a poison...It eats you from inside...We think that by hating someone we hurt them...But hatred is a curved blade...and the harm we do to others...we also do to ourselves.,['ruby-anger']
Oscar Wilde,I have nothing to declare except my genius.,['humor']
Ralph Waldo Emerson,The earth laughs in flowers.,"['flowers', 'laughter']"
Mitch Albom,"When someone is in your heart, they're never truly gone. They can come back to you, even at unlikely times.",['love']
Hafiz,"Even After All this timeThe Sun never says to the Earth,""You owe me.""LookWhat happensWith a love like that,It lights the whole sky.","['life', 'love', 'sky', 'sun']"
Haruki Murakami,"But I didn't understand then. That I could hurt somebody so badly she would never recover. That a person can, just by living, damage another human being beyond repair.",['depressing']
Ian Fleming,You only live twice:Once when you are bornAnd once when you look death in the face,"['death', 'haiku', 'james-bond', 'philosophy', 'poetry']"
Becca Fitzpatrick,"I don't go out with strangers,"" I said.""Good thing I do. I'll pick you up at five.",['fallen-angels']
Oscar Wilde,"We are each our own devil, and we make this world our hell.","['devil', 'hell', 'world']"
Marilyn Monroe,Wanting to be someone else is a waste of the person you are.,"['inspirational', 'misattributed', 'self-acceptance', 'self-esteem']"
Cassandra Clare,"I know it's wrong - God, it's all kinds of wrong - but I just want to lie down with you and wake up with you, just once, just once ever in my life.","['city-of-glass', 'clary-fray', 'jace-wayland']"
Mahatma Gandhi,The future depends on what you do today.,"['action', 'carpe-diem', 'future', 'present']"
Moliere,Trees that are slow to grow bear the best fruit.,"['inspirational', 'patience']"
Leo Tolstoy,"Only people who are capable of loving strongly can also suffer great sorrow, but this same necessity of loving serves to counteract their grief and heals them.","['grief', 'inspirational']"
Chuck Palahniuk,If death meant just leaving the stage long enough to change costume and come back as a new character...Would you slow down? Or speed up?,['death']
Jack Kerouac,The only truth is music.,"['music', 'truth']"
Sean O'Casey,"Laughter is wine for the soul - laughter soft, or loud and deep, tinged through with seriousness - the hilarious declaration made by man that life is worth living.","['joy', 'laughter']"
Dr. Seuss,If you never did you should. These things are fun and fun is good.,['suess']
Martin Luther King Jr.,Intelligence plus character-that is the goal of true education.,['education']
J.D. Salinger,"The mark of the immature man is that he wants to die nobly for a cause, while the mark of the mature man is that he wants to live humbly for one.","['attributed', 'growing-up', 'wilhelm-stekel']"
Steven Spielberg,Only a generation of readers will spawn a generation of writers.,"['education', 'reading']"
Ned Vizzini,"I can't eat and I can't sleep. I'm not doing well in terms of being a functional human, you know?","['depression', 'sadness', 'suicide']"
J.K. Rowling,You care so much you feel as though you will bleed to death with the pain of it.,"['grief', 'harry-potter', 'hurt', 'pain']"
Epicurus,Do not spoil what you have by desiring what you have not; remember that what you now have was once among the things you only hoped for.,"['desire', 'gratitude', 'hope']"
Stephen Fry,Books are no more threatened by Kindle than stairs by elevators.,"['books', 'e-readers', 'kindle', 'reading']"
Ray Bradbury,There is more than one way to burn a book. And the world is full of people running about with lit matches.,['censorship']
Henry David Thoreau,"The question is not what you look at, but what you see.",['inspirational']
Haruki Murakami,"I was always hungry for love. Just once, I wanted to know what it was like to get my fill of it -- to be fed so much love I couldn't take any more. Just once. ",['love']
Lemony Snicket,"...you know that a good, long session of weeping can often make you feel better, even if your circumstances have not changed one bit.",['crying']
Lauren Conrad,Don't cry over someone who wouldn't cry over you.,"['crying', 'heartache', 'love', 'sadness', 'tears']"
Pat  Monahan,You can only be young once. But you can always be immature.,"['humor', 'immature', 'young']"
Chuck Palahniuk,"The things you used to own, now they own you.","['own', 'things']"
Leo Tolstoy,"If, then, I were asked for the most important advice I could give, that which I considered to be the most useful to the men of our century, I should simply say: in the name of God, stop a moment, cease your work, look around you.","['advice-for-writers', 'awareness', 'life']"
Rick Riordan,"You deal with mythological stuff for a few years, you learn that paradises are usually places where you get killed.","['humor', 'mythological', 'paradise']"
Johnny Depp,"If someone were to harm my family or a friend or somebody I love, I would eat them. I might end up in jail for 500 years, but I would eat them.","['humour', 'love']"
Frank Zappa,"If you want to get laid, go to college. If you want an education, go to the library.","['education', 'sex']"
Aristotle,Hope is a waking dream.,"['dreams', 'hope']"
C. JoyBell C.,"We can't be afraid of change. You may feel very secure in the pond that you are in, but if you never venture out of it, you will never know that there is such a thing as an ocean, a sea. Holding onto something that is good for you now, may be the very reason why you don't have something better.","['change', 'changes', 'courage', 'encouragement', 'exploration', 'growing', 'inspirational-quotes', 'letting-go', 'life-and-living', 'self-discovery']"
